"m.ng","m.BIC","m.AIC","m.loglik"
1,2102.42468064557,2085.96652279198,-1039.98326139599
2,577.951975400099,545.03565969292,-266.51782984646
3,43.7513869103655,-5.62308665040276,11.8115433252014
4,-36.0172009054325,-101.84983231979,62.9249161598951
5,-87.6140061979326,-169.90479546588,99.9523977329399
6,-116.788743340913,-215.537690462449,125.768845231225
