"nme","cv_roc_mean","cv_roc_se","test_auc","auc_pval"
"full_fit",0.622371415599096,0.00832632132010079,0.707428693060878,0.00000000000000277555756156289
"noclass_fit",0.618869941908697,0.00800580524969877,0.605044699872287,0.00000000265074773242446
"onlyclass_fit",0.625803123788779,0.00562625507182493,0.694231587909749,0.00000384241099637972
"c1_fit",0.665427261010594,0.0204133739516625,0.516194331983806,0.000000265785213726666
"c2_fit",0.516780101809788,0.0300382074719541,0.5,0.00000382140932253527
"c3_fit",0.54183670492985,0.0152903909085771,0.575059101654846,0.00000285442559933013
