"nme","cv_roc_mean","cv_roc_se","test_auc","auc_pval"
"full_fit",0.665661497384959,0.00571486215402796,0.653260622585775,0.00000000000000932587340685131
"noclass_fit",0.64087903357599,0.00856012379201164,0.511133833219723,0.000000767570740634049
"onlyclass_fit",0.640983620344358,0.00462544811167716,0.679845489661441,0.0000224875011916037
"c1_fit",0.591246702847806,0.00867085103806926,0.597285067873303,0.0000000476715956709839
"c2_fit",0.530440766695721,0.0319231364879439,0.616924476797088,0.00000117542481115063
"c3_fit",0.573790751694892,0.0119929381143634,0.460317460317459,0.0000885715440446244
