"nme","cv_auc_mean","cv_auc_se","test_auc","null_auc_mean","mw_u_p"
"c1_fit",0.56648705117825,0.0197283344347632,0.556758056758056,0.293739177489177,0.000000000211593964571932
"c2_fit",0.553456950944381,0.0171245793668378,0.504285439137134,0.349691833590139,0.00000025343017806545
"c3_fit",0.535575056111478,0.0171804848774987,0.564405813622113,0.342892205756626,0.00000000000415112388907346
"c12_fit",0.566896719302918,0.0196686268545477,0.516842532467533,0.284611404220779,0.0000000837570686140765
"c13_fit",0.607806488535688,0.0290045349056219,0.610094451003543,0.306126033057851,0.0000000000410383949045467
"c23_fit",0.553249323098482,0.0163972697385581,0.546769346356123,0.330776671675432,0.000000000126496924046648
"nonrt_fit",0.506468972015992,0.0334942934509814,0.519471153846154,0.212324519230769,0.000000260565462872897
