"quit_byclass.class","quit_byclass.quit_verified","quit_byclass.n","quit_byclass.prp"
"1",0,224,0.835820895522388
"1",1,44,0.164179104477612
"2",0,755,0.936724565756824
"2",1,51,0.0632754342431762
"3",0,662,0.959420289855072
"3",1,28,0.0405797101449275
