"has_co_byclass.class","has_co_byclass..is.na.co_1year.","has_co_byclass.n","has_co_byclass.prp"
"1",FALSE,68,0.253731343283582
"1",TRUE,200,0.746268656716418
"2",FALSE,318,0.39454094292804
"2",TRUE,488,0.60545905707196
"3",FALSE,463,0.671014492753623
"3",TRUE,227,0.328985507246377
